translation,V1,V2,TimeSec,TimeAbsolute
0,20,534616.8,534.6168,0
0,40,542515.1,542.5151,0
move epoch: 3cm cube,63,544331.4,544.3314,0
0,8018,544331.4,544.3314,0
0,7,544308,544.308,0
trial finished okay,80,544309,544.309,0
experimenter confirmed,90,229916.5,229.9165,0
0,9219,548479.5,548.4795,0
0,20,548480.5,548.4805,0
0,40,556612.1,556.6121,0
move epoch: 1cm cube,61,557811.8,557.8118,0
0,8019,557811.8,557.8118,0
ERROR: lifted wrong hand during move,32,561727,561.727,0
0,94,34.2,0.0342,0
0,9219,567108.8,567.1088,0
0,20,567109.8,567.1098,0
0,40,579557.1,579.5571,0
move epoch: 1cm cube,61,580756.8,580.7568,0
0,8020,580756.8,580.7568,0
0,7,580732,580.732,0
trial finished okay,80,580733,580.733,0
experimenter denied,91,229916.5,229.9165,0
0,9220,585771.4,585.7714,0
0,20,585772.4,585.7724,0
0,40,591921,591.921,0
move epoch: 2cm cube,62,592737.5,592.7375,0
0,8021,592737.5,592.7375,0
0,7,592722,592.722,0
trial finished okay,80,592723,592.723,0
experimenter confirmed,90,597453.2,597.4532,0
0,9221,597462.9,597.4629,0
0,20,597463.9,597.4639,0
0,40,606034.6,606.0346,0
move epoch: 3cm cube,63,607034.4,607.0344,0
0,8022,607034.4,607.0344,0
0,7,607023,607.023,0
trial finished okay,80,607024,607.024,0
experimenter confirmed,90,597453.2,597.4532,0
0,9222,611415.8,611.4158,0
0,20,611416.8,611.4168,0
0,40,617248.8,617.2488,0
move epoch: 2cm cube,62,618148.7,618.1487,0
0,8023,618148.7,618.1487,0
0,7,618124,618.124,0
trial finished okay,80,618125,618.125,0
experimenter denied,91,622381.1,622.3811,0
0,9223,623013.3,623.0133,0
0,20,623014.3,623.0143,0
0,40,630362.7,630.3627,0
move epoch: 3cm cube,63,631245.8,631.2458,0
0,8024,631245.8,631.2458,0
0,7,631221,631.221,0
trial finished okay,80,631222,631.222,0
experimenter confirmed,90,622381.1,622.3811,0
0,9224,635377.2,635.3772,0
0,20,635378.2,635.3782,0
0,40,641493.6,641.4936,0
move epoch: 2cm cube,62,642410,642.41,0
0,8025,642410,642.41,0
0,7,642396,642.396,0
trial finished okay,80,642397,642.397,0
experimenter confirmed,90,622381.1,622.3811,0
0,9225,646953.4,646.9534,0
0,20,646954.4,646.9544,0
0,40,653107.7,653.1077,0
move epoch: 1cm cube,61,654140.8,654.1408,0
0,8026,654140.8,654.1408,0
0,311,654140.8,654.1408,0
0,7,654122,654.122,0
trial finished okay,80,654123,654.123,0
experimenter confirmed,90,622381.1,622.3811,0
0,9226,659138.7,659.1387,0
0,20,659139.7,659.1397,0
0,40,666171.5,666.1715,0
move epoch: 3cm cube,63,667138,667.138,0
0,8027,667138,667.138,0
0,311,667138,667.138,0
0,7,667119,667.119,0
trial finished okay,80,667120,667.12,0
experimenter confirmed,90,622381.1,622.3811,0
0,9227,670919.5,670.9195,0
0,20,670920.5,670.9205,0
ERROR: lifted during loading/checking,30,672653,672.653,0
0,94,34.2,0.0342,0
0,9227,672835.7,672.8357,0
0,20,672836.7,672.8367,0
0,40,678018.9,678.0189,0
move epoch: 1cm cube,61,678968.7,678.9687,0
0,8028,678968.7,678.9687,0
ERROR: lifted wrong hand during move,32,681584,681.584,0
0,94,34.2,0.0342,0
0,9227,687482.5,687.4825,0
0,20,687483.5,687.4835,0
0,40,696348.3,696.3483,0
move epoch: 1cm cube,61,697314.7,697.3147,0
0,8029,697314.7,697.3147,0
0,311,697314.7,697.3147,0
0,7,697304,697.304,0
trial finished okay,80,697305,697.305,0
experimenter denied,91,622381.1,622.3811,0
0,9228,702244.5,702.2445,0
0,20,702245.5,702.2455,0
0,40,709378.8,709.3788,0
move epoch: 1cm cube,61,710295.2,710.2952,0
0,8030,710295.2,710.2952,0
ERROR: lifted wrong hand during move,32,714194,714.194,0
0,94,34.2,0.0342,0
0,9228,719358.9,719.3589,0
0,20,719359.9,719.3599,0
ERROR: lifted during loading/checking,30,719559,719.559,0
0,94,34.2,0.0342,0
0,9228,721308.5,721.3085,0
0,20,721309.5,721.3095,0
ERROR: lifted during loading/checking,30,721742,721.742,0
0,94,34.2,0.0342,0
0,9228,722291.6,722.2916,0
0,20,722292.6,722.2926,0
ERROR: lifted during loading/checking,30,726275,726.275,0
0,94,34.2,0.0342,0
0,9228,727857.1,727.8571,0
0,20,727858.1,727.8581,0
ERROR: lifted during loading/checking,30,728174,728.174,0
0,94,34.2,0.0342,0
0,9228,728990.2,728.9902,0
0,20,728991.2,728.9912,0
ERROR: lifted during loading/checking,30,729524,729.524,0
0,94,34.2,0.0342,0
0,9228,730389.9,730.3899,0
0,20,730390.9,730.3909,0
ERROR: lifted during loading/checking,30,730490,730.49,0
0,94,34.2,0.0342,0
0,9228,730839.8,730.8398,0
0,20,730840.8,730.8408,0
0,40,735256.5,735.2565,0
move epoch: 1cm cube,61,736089.6,736.0896,0
0,8031,736089.6,736.0896,0
0,312,736089.6,736.0896,0
0,7,736065,736.065,0
trial finished okay,80,736066,736.066,0
experimenter confirmed,90,622381.1,622.3811,0
0,9229,740071.1,740.0711,0
0,20,740072.1,740.0721,0
0,40,748053.7,748.0537,0
move epoch: 2cm cube,62,748853.5,748.8535,0
0,8032,748853.5,748.8535,0
0,312,748853.5,748.8535,0
0,7,748828,748.828,0
trial finished okay,80,748829,748.829,0
experimenter confirmed,90,622381.1,622.3811,0
0,9230,752768.3,752.7683,0
0,20,752769.3,752.7693,0
0,40,759434.5,759.4345,0
move epoch: 1cm cube,61,760217.7,760.2177,0
0,8033,760217.7,760.2177,0
0,312,760217.7,760.2177,0
0,7,760195,760.195,0
trial finished okay,80,760196,760.196,0
experimenter confirmed,90,622381.1,622.3811,0
0,9231,764415.8,764.4158,0
0,20,764416.8,764.4168,0
0,40,771015.4,771.0154,0
move epoch: 3cm cube,63,772348.4,772.3484,0
0,8034,772348.4,772.3484,0
0,312,772348.4,772.3484,0
0,7,772334,772.334,0
trial finished okay,80,772335,772.335,0
experimenter denied,91,775947.6,775.9476,0
0,9232,776746.4,776.7464,0
0,20,776747.4,776.7474,0
0,40,783562.6,783.5626,0
move epoch: 2cm cube,62,784512.4,784.5124,0
0,8035,784512.4,784.5124,0
0,313,784512.4,784.5124,0
0,7,784494,784.494,0
trial finished okay,80,784495,784.495,0
experimenter confirmed,90,775947.6,775.9476,0
0,9233,788424.7,788.4247,0
0,20,788425.7,788.4257,0
0,40,796026.6,796.0266,0
move epoch: 1cm cube,61,796759.7,796.7597,0
0,8036,796759.7,796.7597,0
0,313,796759.7,796.7597,0
0,7,796747,796.747,0
trial finished okay,80,796748,796.748,0
experimenter confirmed,90,775947.6,775.9476,0
0,9234,801224.4,801.2244,0
0,20,801225.4,801.2254,0
0,40,808773.8,808.7738,0
move epoch: 2cm cube,62,809623.6,809.6236,0
0,8037,809623.6,809.6236,0
0,313,809623.6,809.6236,0
0,7,809606,809.606,0
trial finished okay,80,809607,809.607,0
experimenter confirmed,90,775947.6,775.9476,0
0,9235,813521.8,813.5218,0
0,20,813522.8,813.5228,0
0,40,820437.9,820.4379,0
move epoch: 3cm cube,63,821254.4,821.2544,0
0,8038,821254.4,821.2544,0
0,313,821254.4,821.2544,0
0,7,821234,821.234,0
trial finished okay,80,821235,821.235,0
experimenter confirmed,90,775947.6,775.9476,0
0,9236,824736,824.736,0
0,20,824737,824.737,0
0,40,832018.7,832.0187,0
move epoch: 1cm cube,61,833201.8,833.2018,0
0,8039,833201.8,833.2018,0
0,313,833201.8,833.2018,0
0,7,833189,833.189,0
trial finished okay,80,833190,833.19,0
0,190,833201.8,833.2018,0
0,94,34.2,0.0342,0
0,9237,837516.5,837.5165,0
0,20,837517.5,837.5175,0
0,40,844399.4,844.3994,0
move epoch: 2cm cube,62,845282.5,845.2825,0
0,8040,845282.5,845.2825,0
0,313,845282.5,845.2825,0
0,7,845266,845.266,0
trial finished okay,80,845267,845.267,0
0,413,849547.2,849.5472,0
end of block,100,849548.2,849.5482,0
RH Block Start,11,852564.3,852.5643,0
Visible Block Start,12,852565.3,852.5653,0
0,94,852565.3,852.5653,0
0,9301,1012361.8,1012.3618,0
0,20,1012362.8,1012.3628,0
ERROR: lifted during loading/checking,30,1052970,1052.97,0
0,94,852565.3,852.5653,0
0,9301,1053436.2,1053.4362,0
0,20,1053437.2,1053.4372,0
ERROR: lifted during loading/checking,30,1054653,1054.653,0
0,94,852565.3,852.5653,0
0,9301,1165995,1165.995,0
0,20,1165996,1165.996,0
ERROR: lifted during loading/checking,30,1166195,1166.195,0
0,94,852565.3,852.5653,0
0,9301,1166511.5,1166.5115,0
0,20,1166512.5,1166.5125,0
ERROR: lifted during loading/checking,30,1167279,1167.279,0
0,94,852565.3,852.5653,0
0,9301,1167944.6,1167.9446,0
0,20,1167945.6,1167.9456,0
ERROR: lifted during loading/checking,30,1171094,1171.094,0
0,94,852565.3,852.5653,0
0,9301,1204203.3,1204.2033,0
0,20,1204204.3,1204.2043,0
ERROR: lifted during loading/checking,30,1205304,1205.304,0
0,94,852565.3,852.5653,0
0,9301,1205453.1,1205.4531,0
0,20,1205454.1,1205.4541,0
ERROR: lifted during loading/checking,30,1206570,1206.57,0
0,94,852565.3,852.5653,0
0,9301,1652005.8,1652.0058,0
0,20,1652006.8,1652.0068,0
ERROR: lifted during loading/checking,30,1654089,1654.089,0
0,94,852565.3,852.5653,0
0,9301,1659187.5,1659.1875,0
0,20,1659188.5,1659.1885,0
ERROR: lifted during loading/checking,30,1659655,1659.655,0
0,94,852565.3,852.5653,0
0,9301,1660404,1660.404,0
0,20,1660405,1660.405,0
ERROR: lifted during loading/checking,30,1661154,1661.154,0
0,94,852565.3,852.5653,0
0,9301,1667269.1,1667.2691,0
0,20,1667270.1,1667.2701,0
ERROR: lifted during loading/checking,30,1667453,1667.453,0
0,94,852565.3,852.5653,0
0,9301,1668300.9,1668.3009,0
0,20,1668301.9,1668.3019,0
ERROR: lifted during loading/checking,30,1668386,1668.386,0
0,94,852565.3,852.5653,0
0,9301,1668407,1668.407,0
0,20,1668408,1668.408,0
ERROR: lifted during loading/checking,30,1668986,1668.986,0
0,94,852565.3,852.5653,0
0,9301,1669402,1669.402,0
0,20,1669403,1669.403,0
ERROR: lifted during loading/checking,30,1670186,1670.186,0
0,94,852565.3,852.5653,0
0,9301,1670668.4,1670.6684,0
0,20,1670669.4,1670.6694,0
ERROR: lifted during loading/checking,30,1679900,1679.9,0
0,94,852565.3,852.5653,0
0,9301,1686898.2,1686.8982,0
0,20,1686899.2,1686.8992,0
ERROR: lifted during loading/checking,30,1687532,1687.532,0
0,94,852565.3,852.5653,0
0,9301,1687798,1687.798,0
0,20,1687799,1687.799,0
ERROR: lifted during loading/checking,30,1699829,1699.829,0
0,94,852565.3,852.5653,0
0,9301,1700528.6,1700.5286,0
0,20,1700529.6,1700.5296,0
ERROR: lifted during loading/checking,30,1708827,1708.827,0
0,94,852565.3,852.5653,0
0,9301,1709476.6,1709.4766,0
0,20,1709477.6,1709.4776,0
ERROR: lifted during loading/checking,30,1710577,1710.577,0
0,94,852565.3,852.5653,0
0,9301,1716608.4,1716.6084,0
0,20,1716609.4,1716.6094,0
ERROR: lifted during loading/checking,30,1718958,1718.958,0
0,94,852565.3,852.5653,0
0,9301,1787209.7,1787.2097,0
0,20,1787210.7,1787.2107,0
ERROR: lifted during loading/checking,30,1787643,1787.643,0
0,94,852565.3,852.5653,0
0,9301,1788092.8,1788.0928,0
0,20,1788093.8,1788.0938,0
ERROR: lifted during loading/checking,30,1788593,1788.593,0
0,94,852565.3,852.5653,0
0,9301,1789091.4,1789.0914,0
0,20,1789092.4,1789.0924,0
ERROR: lifted during loading/checking,30,1791159,1791.159,0
0,94,852565.3,852.5653,0
0,9301,1791842,1791.842,0
0,20,1791843,1791.843,0
ERROR: lifted during loading/checking,30,1797825,1797.825,0
0,94,852565.3,852.5653,0
0,9301,1805422.4,1805.4224,0
0,20,1805423.4,1805.4234,0
ERROR: lifted during loading/checking,30,1808806,1808.806,0
0,94,852565.3,852.5653,0
0,9301,1808938.3,1808.9383,0
0,20,1808939.3,1808.9393,0
ERROR: lifted during loading/checking,30,1809022,1809.022,0
0,94,852565.3,852.5653,0
0,9301,1809138.2,1809.1382,0
0,20,1809139.2,1809.1392,0
ERROR: lifted during loading/checking,30,1809372,1809.372,0
0,94,852565.3,852.5653,0
0,9301,1829167.2,1829.1672,0
0,20,1829168.2,1829.1682,0
ERROR: lifted during loading/checking,30,1829518,1829.518,0
0,94,852565.3,852.5653,0
0,9301,1829867.1,1829.8671,0
0,20,1829868.1,1829.8681,0
ERROR: lifted during loading/checking,30,1833384,1833.384,0
0,94,852565.3,852.5653,0
0,9301,1953706.8,1953.7068,0
0,20,1953707.8,1953.7078,0
ERROR: lifted during loading/checking,30,1954041,1954.041,0
0,94,852565.3,852.5653,0
0,9301,1954439.9,1954.4399,0
0,20,1954440.9,1954.4409,0
ERROR: lifted during loading/checking,30,1954607,1954.607,0
0,94,852565.3,852.5653,0
0,9301,1955106.5,1955.1065,0
0,20,1955107.5,1955.1075,0
ERROR: lifted during loading/checking,30,1955340,1955.34,0
0,94,852565.3,852.5653,0
