"Hz","optotrak.pulse.number","x1","y1","z1","x2","y2","z2","x3","y3","z3","x4","y4","z4","x5","y5","z5","x6","y6","z6","x7","y7","z7","x8","y8","z8","x9","y9","z9","x10","y10","z10","x11","y11","z11","x12","y12","z12"
92,"44",590,636.8,43.9,597.6,642.9,40.8,529,594.6,53.5,525.6,587.9,57.5,583,611.5,107.9,581.7,605.9,113.2,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.6,40.9,549.5,602.3,77.9,541.4,595.7,77.5
93,"44",589.3,636.2,42.8,597,642.3,39.7,528.9,594.7,51.6,525.5,588,55.7,582,610.9,106.9,580.7,605.4,112.2,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.6,40.9,549,602.2,76.4,540.9,595.6,75.9
94,"44",588.6,635.6,41.7,596.3,641.7,38.6,528.8,594.7,49.9,525.2,588,54,581.1,610.4,106,579.7,604.8,111.3,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.6,40.9,548.5,602,75,540.4,595.4,74.3
95,"44",588,635,40.6,595.7,641.1,37.5,528.5,594.6,48.3,525,587.9,52.3,580.2,609.8,105,578.8,604.2,110.3,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,548,601.7,73.6,539.9,595,72.8
96,"44",587.4,634.4,39.5,595.1,640.5,36.4,528.2,594.3,46.7,524.6,587.6,50.7,579.3,609.2,103.9,577.9,603.6,109.2,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,547.5,601.3,72.3,539.4,594.7,71.4
97,"44",586.9,633.9,38.3,594.6,639.9,35.3,527.9,594.1,45.2,524.2,587.2,49.1,578.5,608.7,102.9,577,603,108.2,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,546.9,600.8,70.9,538.8,594.2,70
98,"44",586.4,633.3,37.2,594.1,639.3,34.2,527.7,593.8,43.6,524,587,47.6,577.7,608.1,101.8,576.2,602.5,107.2,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,546.4,600.4,69.5,538.3,593.9,68.6
99,"44",585.9,632.7,36.2,593.7,638.7,33.2,527.6,593.8,42.1,523.8,586.9,46,577,607.7,100.9,575.5,602.1,106.3,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,546.1,600.2,68.2,538,593.7,67.2
100,"44",585.4,632,35.3,593.1,638.1,32.3,527.7,593.9,40.8,523.9,587,44.7,576.4,607.3,100.2,574.8,601.6,105.5,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,545.8,600.1,67.1,537.7,593.6,66.1
101,"44",584.7,631.3,34.5,592.4,637.4,31.5,527.5,593.9,40.1,523.7,587,44,575.9,607,99.6,574.3,601.3,104.9,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,545.5,599.9,66.5,537.5,593.5,65.4
