Number of frames: 1000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z
45,-190.072128296,-325.226440430,-2474.610107422,-195.101623535,-21.476020813,-2461.444580078,-318.928100586,-35.232032776,-2183.915527344,-223.387084961,-340.619689941,-2155.929931641,
46,-190.075775146,-325.231536865,-2474.625000000,-195.101440430,-21.475824356,-2461.452392578,-318.927032471,-35.232551575,-2183.913818359,-223.386520386,-340.619171143,-2155.930908203,
47,-190.071517944,-325.229278564,-2474.612548828,-195.104965210,-21.473423004,-2461.452636719,-318.927886963,-35.232978821,-2183.905273438,-223.384674072,-340.617675781,-2155.921386719,
48,-190.072509766,-325.226928711,-2474.608886719,-195.106597900,-21.473516464,-2461.461669922,-318.925872803,-35.236766815,-2183.892578125,-223.385040283,-340.619598389,-2155.922607422,
49,-190.072784424,-325.226165771,-2474.606689453,-195.106140137,-21.471620560,-2461.459472656,-318.924072266,-35.239852905,-2183.875732422,-223.385925293,-340.618927002,-2155.921875000,
50,-190.074523926,-325.228820801,-2474.614746094,-195.107025146,-21.472188950,-2461.463867188,-318.921875000,-35.242244720,-2183.853759766,-223.386749268,-340.619812012,-2155.923339844,
51,-190.069992065,-325.228302002,-2474.606933594,-195.105941772,-21.471309662,-2461.470458984,-318.914703369,-35.244224548,-2183.839843750,-223.382873535,-340.617858887,-2155.920410156,
52,-190.065277100,-325.229248047,-2474.612304688,-195.100296021,-21.472309113,-2461.463134766,-318.910858154,-35.246387482,-2183.838378906,-223.379211426,-340.618164063,-2155.924560547,
53,-190.064285278,-325.227813721,-2474.606445313,-195.096862793,-21.471176147,-2461.467529297,-318.909759521,-35.247249603,-2183.835937500,-223.378005981,-340.619476318,-2155.924560547,
54,-190.063400269,-325.227630615,-2474.594726563,-195.101364136,-21.470977783,-2461.470947266,-318.911193848,-35.245483398,-2183.830322266,-223.378662109,-340.617950439,-2155.926513672,
