Number of frames: 1000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z
56,-185.947494507,-374.807983398,-2489.599121094,-187.559600830,-70.978576660,-2485.822021484,-310.883392334,-75.097160339,-2207.523193359,-218.525192261,-380.453582764,-2171.085205078,
57,-185.949844360,-374.803497314,-2489.588867188,-187.560028076,-70.981445313,-2485.819091797,-310.883148193,-75.097122192,-2207.522705078,-218.523757935,-380.455535889,-2171.081054688,
58,-185.953140259,-374.808563232,-2489.599365234,-187.559692383,-70.981597900,-2485.804931641,-310.883422852,-75.097892761,-2207.521484375,-218.525634766,-380.454925537,-2171.072265625,
59,-185.955459595,-374.809783936,-2489.599365234,-187.561584473,-70.982070923,-2485.819335938,-310.885406494,-75.098846436,-2207.520996094,-218.525314331,-380.456420898,-2171.075439453,
60,-185.957809448,-374.812652588,-2489.614746094,-187.559600830,-70.981231689,-2485.809814453,-310.885620117,-75.099922180,-2207.528320313,-218.525436401,-380.457489014,-2171.083007813,
61,-185.956558228,-374.812133789,-2489.597656250,-187.560302734,-70.980812073,-2485.807128906,-310.882202148,-75.099578857,-2207.522216797,-218.524139404,-380.458801270,-2171.083496094,
62,-185.949630737,-374.808532715,-2489.596679688,-187.556533813,-70.982841492,-2485.802734375,-310.877990723,-75.100341797,-2207.520263672,-218.521881104,-380.458404541,-2171.083007813,
63,-185.950698853,-374.813232422,-2489.595458984,-187.557312012,-70.981895447,-2485.809570313,-310.878326416,-75.100837708,-2207.519287109,-218.521835327,-380.459289551,-2171.082275391,
64,-185.950805664,-374.814300537,-2489.606933594,-187.558776855,-70.981773376,-2485.807373047,-310.879669189,-75.099624634,-2207.520019531,-218.523193359,-380.459259033,-2171.081298828,
65,-185.954040527,-374.809570313,-2489.593994141,-187.561782837,-70.983093262,-2485.800048828,-310.880035400,-75.100120544,-2207.519775391,-218.522262573,-380.456604004,-2171.073242188,
66,-185.947357178,-374.813446045,-2489.601562500,-187.560089111,-70.981330872,-2485.805419922,-310.880249023,-75.100830078,-2207.526855469,-218.519607544,-380.456176758,-2171.077636719,
67,-185.947296143,-374.812286377,-2489.600830078,-187.559906006,-70.983200073,-2485.801757813,-310.878326416,-75.100189209,-2207.528076172,-218.518356323,-380.456329346,-2171.070556641,
68,-185.954650879,-374.814117432,-2489.603027344,-187.559478760,-70.980674744,-2485.786376953,-310.881927490,-75.099166870,-2207.531982422,-218.521591187,-380.455322266,-2171.084472656,
69,-185.949859619,-374.814758301,-2489.604003906,-187.561706543,-70.980445862,-2485.810058594,-310.879913330,-75.098709106,-2207.526855469,-218.519989014,-380.456115723,-2171.081542969,
70,-185.951171875,-374.814208984,-2489.601806641,-187.561874390,-70.981987000,-2485.809570313,-310.874938965,-75.098564148,-2207.528564453,-218.517150879,-380.454681396,-2171.075927734,
71,-185.952560425,-374.814422607,-2489.598144531,-187.558242798,-70.981399536,-2485.803710938,-310.876617432,-75.098236084,-2207.533447266,-218.517654419,-380.454071045,-2171.068603516,
72,-185.954406738,-374.812957764,-2489.599609375,-187.562850952,-70.980949402,-2485.794921875,-310.876220703,-75.098823547,-2207.520751953,-218.520675659,-380.453216553,-2171.071533203,
73,-185.953216553,-374.810729980,-2489.595214844,-187.565383911,-70.980216980,-2485.796142578,-310.876861572,-75.098365784,-2207.525878906,-218.519363403,-380.453338623,-2171.067871094,
74,-185.948776245,-374.811309814,-2489.611083984,-187.562362671,-70.981361389,-2485.794677734,-310.873840332,-75.099876404,-2207.521728516,-218.517883301,-380.453399658,-2171.067626953,
75,-185.946960449,-374.809661865,-2489.583984375,-187.561523438,-70.980133057,-2485.790527344,-310.875946045,-75.099090576,-2207.529785156,-218.516632080,-380.452484131,-2171.060058594,
76,-185.946426392,-374.807495117,-2489.585693359,-187.564651489,-70.978668213,-2485.795898438,-310.880859375,-75.097724915,-2207.539550781,-218.517501831,-380.452453613,-2171.060791016,
77,-185.944763184,-374.806365967,-2489.583251953,-187.564392090,-70.978523254,-2485.794921875,-310.877777100,-75.099899292,-2207.532226563,-218.515060425,-380.451812744,-2171.059814453,
78,-185.941497803,-374.805145264,-2489.594238281,-187.559753418,-70.979248047,-2485.797363281,-310.878173828,-75.099380493,-2207.536376953,-218.514389038,-380.451812744,-2171.064697266,
79,-185.942245483,-374.802947998,-2489.589599609,-187.559402466,-70.977378845,-2485.793945313,-310.875915527,-75.097770691,-2207.527343750,-218.513412476,-380.451599121,-2171.065429688,
