"translation","V1","V2","TimeSec","TimeAbsolute"
"0","9109",293865.7,293.8657,0
"0","20",293866.7,293.8667,0
"0","40",298499,298.499,0
"move epoch: 1cm cube","61",299230.8,299.2308,0
"0","8009",299230.8,299.2308,0
"0","8",299222,299.222,0
"trial finished okay","80",299223,299.223,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9110",302058.3,302.0583,0
"0","20",302059.3,302.0593,0
"0","40",329242,329.242,0
"move epoch: 1cm cube","61",329908.5,329.9085,0
"0","8010",329908.5,329.9085,0
"0","8",329886,329.886,0
"trial finished okay","80",329887,329.887,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9111",332573.6,332.5736,0
"0","20",332574.6,332.5746,0
"0","40",337140.2,337.1402,0
"move epoch: 2cm cube","62",337723.4,337.7234,0
"0","8011",337723.4,337.7234,0
"0","8",337706,337.706,0
"trial finished okay","80",337707,337.707,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9112",340305.2,340.3052,0
"0","20",340306.2,340.3062,0
"0","40",344955.1,344.9551,0
"move epoch: 1cm cube","61",345588.3,345.5883,0
"0","8012",345588.3,345.5883,0
"0","8",345574,345.574,0
"trial finished okay","80",345575,345.575,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9113",348170.1,348.1701,0
"0","20",348171.1,348.1711,0
"0","40",353536.5,353.5365,0
"move epoch: 2cm cube","62",354003.1,354.0031,0
"0","8013",354003.1,354.0031,0
"0","8",353989,353.989,0
"trial finished okay","80",353990,353.99,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9114",356668.1,356.6681,0
"0","20",356669.1,356.6691,0
"0","40",362051.3,362.0513,0
"move epoch: 3cm cube","63",362684.4,362.6844,0
"0","8014",362684.4,362.6844,0
"0","8",362665,362.665,0
"trial finished okay","80",362666,362.666,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9115",365216.2,365.2162,0
"0","20",365217.2,365.2172,0
"0","40",369982.8,369.9828,0
"move epoch: 3cm cube","63",370516,370.516,0
"0","8015",370516,370.516,0
"0","8",370494,370.494,0
"trial finished okay","80",370495,370.495,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9116",373229.9,373.2299,0
"0","20",373230.9,373.2309,0
"0","40",377897.6,377.8976,0
"move epoch: 2cm cube","62",378364.2,378.3642,0
"0","8016",378364.2,378.3642,0
"0","8",378347,378.347,0
"trial finished okay","80",378348,378.348,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9117",381211.2,381.2112,0
"0","20",381212.2,381.2122,0
"0","40",386762.3,386.7623,0
"move epoch: 3cm cube","63",387245.5,387.2455,0
"0","8017",387245.5,387.2455,0
"0","8",387225,387.225,0
"trial finished okay","80",387226,387.226,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9118",390477.1,390.4771,0
"0","20",390478.1,390.4781,0
"0","40",396610.1,396.6101,0
"move epoch: 2cm cube","62",397093.3,397.0933,0
"0","8018",397093.3,397.0933,0
"0","8",397077,397.077,0
"trial finished okay","80",397078,397.078,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9119",400008.3,400.0083,0
"0","20",400009.3,400.0093,0
"0","40",405391.4,405.3914,0
"move epoch: 2cm cube","62",405874.6,405.8746,0
"0","8019",405874.6,405.8746,0
"0","8",405852,405.852,0
"trial finished okay","80",405853,405.853,0
